iter	Logloss
0	0.6094480591
1	0.5488710937
2	0.5022375183
3	0.4600368958
4	0.4258649597
5	0.401598938
6	0.3794629211
7	0.363733429
8	0.3493970642
9	0.3334050598
10	0.3229634399
11	0.3115949097
12	0.3021802368
13	0.2974796143
14	0.2918124695
15	0.2867663574
16	0.28165802
17	0.2789632568
18	0.2759581909
19	0.2737443848
20	0.2707378235
21	0.2680658569
22	0.2663757629
23	0.262331665
24	0.2603996887
25	0.2590634155
26	0.2564267578
27	0.2541123657
28	0.2527509308
29	0.2518272705
30	0.2510574799
31	0.2495303802
32	0.248035202
33	0.246524231
34	0.2457403259
35	0.2451545105
36	0.2441553345
37	0.2432530212
38	0.2419587708
39	0.2403456726
40	0.2389572754
41	0.2383905945
42	0.2372124481
43	0.2364573212
44	0.2357026367
45	0.2350277557
46	0.2344451904
47	0.232723999
48	0.2320435791
49	0.2314682617
50	0.2305361023
51	0.2300685577
52	0.2292402649
53	0.2283747864
54	0.2273345184
55	0.2267920532
56	0.2258558044
57	0.2248093262
58	0.2241956787
59	0.2238683319
60	0.2220302887
61	0.2213349915
62	0.2209463959
63	0.2202237091
64	0.21981427
65	0.2195219879
66	0.2192363586
67	0.2185311127
68	0.2182802124
69	0.2171805725
70	0.2168230438
71	0.2164858093
72	0.2147700043
73	0.2138331604
74	0.2130547028
75	0.2126041107
76	0.211844635
77	0.2115110016
78	0.2105871277
79	0.2093813477
80	0.2090311279
81	0.2085247498
82	0.2083639679
83	0.2081042786
84	0.2070319672
85	0.2068717957
86	0.206611496
87	0.2062518005
88	0.2058023682
89	0.2053264313
90	0.2047683716
91	0.2041873474
92	0.2038473511
93	0.203674942
94	0.203082489
95	0.2029689331
96	0.2021250458
97	0.201785202
98	0.2013484802
99	0.2004884338
