iter	Passed	Remaining
0	1	156
1	3	175
2	5	170
3	6	165
4	8	163
5	10	158
6	11	154
7	12	149
8	14	144
9	15	141
10	17	138
11	18	135
12	19	132
13	21	130
14	22	127
15	24	126
16	25	124
17	26	122
18	28	120
19	29	118
20	31	116
21	32	115
22	34	114
23	35	113
24	37	112
25	39	111
26	40	110
27	42	108
28	43	106
29	45	105
30	46	103
31	48	102
32	49	100
33	50	98
34	52	97
35	53	95
36	55	93
37	56	92
38	58	90
39	59	89
40	61	87
41	62	86
42	63	84
43	65	83
44	67	82
45	69	81
46	70	79
47	72	78
48	73	76
49	74	74
50	76	73
51	77	71
52	78	69
53	80	68
54	81	66
55	82	65
56	84	63
57	85	61
58	86	60
59	88	58
60	89	57
61	90	55
62	92	54
63	93	52
64	94	50
65	96	49
66	98	48
67	100	47
68	101	45
69	103	44
70	104	42
71	105	41
72	107	39
73	108	38
74	109	36
75	111	35
76	112	33
77	113	32
78	115	30
79	116	29
80	117	27
81	119	26
82	120	24
83	121	23
84	123	21
85	124	20
86	125	18
87	127	17
88	129	15
89	130	14
90	132	13
91	133	11
92	134	10
93	135	8
94	137	7
95	138	5
96	139	4
97	141	2
98	142	1
99	143	0
